Elemento,Descripcion,Banco
Hotel VIK Chile Todos los días," Sujeto a disponibilidad.
Promoción exclusiva clientes Scotia pagando con Tarjetas de Crédito Visa Scotiabank Signature, Infinite, Singular y Wealth Management. ",Banco ScotiaBank
Marley Coffee Todos los viernes,"   Pagando con tarjetas de Débito y/o Crédito Visa Scotia.
Para compras en tienda online.
Excluye Maquinas Rise Up. Promoción válida todos los viernes de marzo de 2025. Promoción consiste en un 15% Dcto. en Marley Coffe a través de www. marleycoffe. cl/. Accede a este beneficio pagando con tus Tarjetas de Débito o Crédito Visa Scotia e ingresando como código de descuento los seis primeros dígitos de tus Tarjetas Scotia. Promoción no acumulable con otras promociones, ni sobre el costo del despacho. Promoción excluye maquinas de café Rise up. Se excluyen de esta promoción las Tarjetas Empresariales, Corporativas, Mastercard Business, Visa Business, Visa Enjoy, Visa Movistar, Visa Forum, Visa Congelada, Visa Crédito Express, Visa Bex y Tarjeta Universal, al igual que las Tarjetas de Crédito Cencosud Scotiabank, emitidas por su filial.",Banco ScotiaBank
Youtopia Todos los días," Promoción exclusiva para clientes Scotiabank Chile. Promoción válida hasta el 31 de marzo de 2025 o hasta agotar stock. Promoción consiste en acceso a KIT de Bienvenida para clientes Scotiabank que se unan a Youtopia durante el mes de marzo 2025. Además, accede a un 10% Dcto. durante el primer mes de membresía en servicios complementarios para nuevos clientes y renovaciones. Aplicable exclusivamente a la compra de paquetes de Personal Training, Salud o Therapy. Accede a esta promoción anunciando método de pago Scotia, a continuación, pagando sus Tarjetas de Crédito Visa Scotia Signature, Infinite, Singular y Wealth Management. Promoción exclusiva para clientes Scotia. Se excluyen de esta promoción las Tarjetas de Débito Scotia, Tarjetas de Crédito Visa y Mastercard Scotia Gold, Platinum, Mastercard Black, Tarjetas Empresariales, Corporativas, Mastercard Business, Visa Business, Visa Enjoy, Visa Movistar, Visa Forum, Visa Congelada, Visa Crédito Express, Visa Bex y Tarjeta Universal, al igual que las Tarjetas de Crédito Cencosud Scotiabank, emitidas por su filial. El pago con tarjetas de crédito puede tener costos asociados. Consulta con el emisor de la tarjeta para mayor información.",Banco ScotiaBank
Golf Chile Todos los días," Exclusivo para clientes Scotiabank.
Descuento no acumulable sobre otras promociones o descuentos.
Exclusivo para compra presencial en tienda ubicada en Alonso de Cordova 2700, local 2, Vitacura. Promoción válida todos los días de marzo de 2025. Promoción consiste en hasta 30% Dcto. en artículos seleccionados. 15% Dcto. en el resto de la tienda y carros de arrastre. 10% Dcto. en palos, pelotas y carrito eléctrico. Para clientes que son socios del Club de Golf La Dehesa. 30% Dcto. en palos, pelotas, guantes y bolsos. 20% Dcto. en carros de arrastre y eléctricos. 15% Dcto. Bushell.  Exclusivo para compra presencial en tienda ubicada en Alonso de Cordova 2700, local 2, Vitacura. Exclusivo pagando con tus Tarjetas Crédito Signature, Infinite, Singular y Wealth Management Scotiabank y anunciando los primeros 6 números de esta como código de descuento. Exclusivo para clientes Scotiabank. Descuento no acumulable sobre otras promociones o descuentos. Se excluyen de esta promoción las Tarjetas de Débito, Crédito Visa y Mastercard Scotia Gold, Platinum, Mastercard Black, Tarjetas Empresariales, Corporativas, Mastercard Business, Visa Business, Visa Enjoy, Visa Movistar, Visa Forum, Visa Congelada, Visa Crédito Express, Visa Bex y Tarjeta Universal, al igual que las Tarjetas de Crédito Cencosud Scotiabank, emitidas por su filial. El pago con tarjetas de crédito puede tener costos asociados. Consulta con el emisor de la tarjeta para mayor información.",Banco ScotiaBank
Pellín y Coigue Todos los días,"  Promoción válida todos los días de marzo 2025. Promoción consiste en un 20% Dcto. en Restaurante Pellin & Coigue con tope de $50.000 por cliente titular. Promoción válida para Restaurant Pellin & Coigue ubicado en Condominio San Andres KM 45, Futrono. Promoción exclusiva para clientes Scotiabank pagando con Tarjetas de Crédito Scotiabank Signature, Infinite, Singular y Wealth Management. Descuento válido para consumo presencial y solicitándolo al momento de pagar en restaurante. Promoción válida previa reserva. Descuento no acumulable con otras promociones. Descuento no válido para días feriados y festivos. Se excluyen propinas, cigarrillos, menús, eventos dentro del restaurante y otras promociones. Sujeto a disponibilidad de los locales. Promoción válida para Tarjetas emitidas por Scotiabank Chile. Se excluyen de esta promoción las Tarjetas de Débito Scotia, Visa Scotia Gold, Mastercard Scotia Gold, Visa Scotia Platinum, Mastercard Scotia Platinum, Mastercard Scotia Black, Empresariales, Corporativas, Mastercard Business, Visa Enjoy, Visa Movistar, Visa Forum, Visa Congelada, Visa Crédito Express, Visa Bex y Tarjeta Universal, al igual que las Tarjetas de Crédito Cencosud Scotiabank, emitidas por su filial. El pago con tarjetas de crédito puede tener costos asociados. Consulta con el emisor de la tarjeta para mayor información.",Banco ScotiaBank
VIP Pacific Club  Todos los días," La cantidad de accesos gratuitos es válida por un año calendario.
Si cliente excede la cantidad de accesos gratuitos durante el periodo, al mes siguiente o subsiguiente se le cargará, por cada ingreso, en su Tarjeta de Crédito la tarifa convenio de $22.500 para salones nacionales.
Para clientes con más de una Tarjeta de Crédito Visa Scotia los accesos gratuitos no son acumulables y se considerará la cantidad de accesos de la Tarjeta con mejor beneficio.
El servicio entregado en los Salones VIP Pacific Club es de exclusiva responsabilidad de cada operador. Beneficio de accesos gratuitos a Salones VIP Pacific Club en Aeropuerto Nacional de Chile es válido exclusivamente para clientes con Tarjetas de Crédito Visa Scotiabank Signature, Infinite, Singular y Wealth Management hasta el 31 de marzo de 2025. Clientes con Tarjeta de Crédito Visa Signature Scotia tendrán 2 accesos gratuitos anuales, clientes con Tarjeta de Crédito Visa Infinite Scotia tendrán 4 accesos gratuitos anuales, clientes con Tarjeta de Crédito Visa Singular tendrán 6 accesos gratuitos anuales y clientes con Tarjeta de Crédito Visa Scotia Wealth Management tendrán 8 accesos gratuitos anuales. Se autorizarán los ingresos a los salones VIP Pacific Club previa validación de vigencia de la Tarjeta y aplicará para la cuenta del cliente titular, pudiendo ser utilizada junto con un acompañante descontándose 2 ingresos. La cantidad de accesos gratuitos es válida por un año calendario. Si cliente excede la cantidad de accesos gratuitos durante el periodo, al mes siguiente o subsiguiente se le cargará, por cada ingreso, en su Tarjeta de Crédito la tarifa convenio de $22.500 para Tarjeta de Crédito Wealth Management y $21.500 para Otras Tarjetas de Crédito, para salones nacionales. Para clientes con más de una Tarjeta de Crédito Visa Scotia los accesos gratuitos no son acumulables y se considerará la cantidad de accesos de la Tarjeta con mejor beneficio. El servicio entregado en los Salones VIP Pacific Club es de exclusiva responsabilidad de cada operador.",Banco ScotiaBank
Las Hortensias Restaurante Pucón Todos los días," Descuento no acumulable con otras promociones.
Se excluyen propinas, cigarrillos, menús, eventos dentro del restaurante y otras promociones.
Sujeto a disponibilidad de local.
Exclusivo para clientes Scotia.
Pagando con tus Tarjetas de Crédito Scotia Signature, Infinite, Singular y Wealth Management. Promoción válida todos los días de marzo 2025. Promoción consiste en un 40% de descuento con tope de $50.000 por cliente titular en Las Hortensias Restaurant Pucón. Promoción exclusiva para clientes Scotia. Pagando con tus Tarjetas de Crédito Scotia Signature, Infinite, Singular y Wealth Management. Descuento válido para consumo presencial y solicitándolo al momento de pagar en restaurante. Promoción válida previa reserva. Descuento no acumulable con otras promociones. Descuento no válido para días feriados y festivos. Se excluyen propinas, cigarrillos, menús, eventos dentro del restaurante y otras promociones. Sujeto a disponibilidad de los locales. Promoción válida para Tarjetas emitidas por Scotiabank Chile. Se excluyen de esta promoción las Tarjetas de Débito Scotia, Visa Scotia Gold, Mastercard Scotia Gold, Visa Scotia Platinum, Mastercard Scotia Platinum, Mastercard Scotia Black, Empresariales, Corporativas, Mastercard Business, Visa Enjoy, Visa Movistar, Visa Forum, Visa Congelada, Visa Crédito Express, Visa Bex y Tarjeta Universal, al igual que las Tarjetas de Crédito Cencosud Scotiabank, emitidas por su filial. El pago con tarjetas de crédito puede tener costos asociados. Consulta con el emisor de la tarjeta para mayor información.",Banco ScotiaBank
Hotel Green Park Pucón Todos los días," Descuento no acumulable con otras promociones o descuentos.
Para acceder al beneficio solicitar el descuento a través de reservas@pucongreenpark.cl y +56 45 2467960 para reservación previa.
Estancia sujeta a disponibilidad del hotel.
Válido solo para compras con boleta.
Aplica sobre tarifa flexible.
Sujeto a disponibilidad. ",Banco ScotiaBank
FlixBus Todos los días,"  Promoción válida todos los días de marzo de 2025. Promoción consiste en un 20% Dcto. en FlixBus. Accede a este beneficio ingresando código de descuento a descargar desde www.beneficios.scotiabank.cl > Descuentos > Flixbus al finalizar la compra a través www.flixbus.cl y App FlixBus. Para sucursales físicas anunciando código de descuento y pagando con tus Tarjetas de Débito y/o Crédito Visa Scotiabank. La oferta es de exclusiva responsabilidad del comercio. No acumulable con otras ofertas y/o promociones. Se excluyen de esta promoción las Tarjetas Empresariales, Corporativas, Mastercard Business, Visa Business, Visa Enjoy, Visa Movistar, Visa Forum, Visa Congelada, Visa Crédito Express, Visa Bex y Tarjeta Universal, al igual que las Tarjetas de Crédito Cencosud Scotiabank, emitidas por su filial. ",Banco ScotiaBank
Boca Lago Restaurant Lago Ranco Todos los días,"  Promoción válida todos los días de marzo de 2025. Promoción consiste en un 40% de descuento con tope de $50.000 por cliente titular en Boca Lago. Válido para Restaurant Boca Lago, Puerto Nuevo 250, Lago Ranco . Promoción exclusiva para clientes Scotia. Pagando con tus Tarjetas de Crédito Scotia Signature, Infinite, Singular y Wealth Management. Descuento válido para consumo presencial y solicitándolo al momento de pagar en restaurante. Promoción válida previa reserva. Descuento no acumulable con otras promociones. Descuento no válido para días feriados y festivos. Se excluyen propinas, cigarrillos, menús, eventos dentro del restaurante y otras promociones. Sujeto a disponibilidad de los locales. Promoción válida para Tarjetas emitidas por Scotiabank Chile. Se excluyen de esta promoción las Tarjetas de Débito Scotia, Visa Scotia Gold, Mastercard Scotia Gold, Visa Scotia Platinum, Mastercard Scotia Platinum, Mastercard Scotia Black, Empresariales, Corporativas, Mastercard Business, Visa Enjoy, Visa Movistar, Visa Forum, Visa Congelada, Visa Crédito Express, Visa Bex y Tarjeta Universal, al igual que las Tarjetas de Crédito Cencosud Scotiabank, emitidas por su filial. El pago con tarjetas de crédito puede tener costos asociados. Consulta con el emisor de la tarjeta para mayor información.",Banco ScotiaBank
Corralco Todos los días," Promoción válida para emitir reservas desde el 3 de diciembre de 2024 hasta el 31 de mayo de 2025, con fechas de estadía permitidas desde el 3 de diciembre de 2024 hasta el 31 de mayo de 2025.
No existe límite en el monto ni la cantidad de noches que pueden ser reservadas con esta tarifa. Promoción no acumulable sobre otras promociones vigentes. 
El descuento de la promoción no aplica en actividades como trekking, acceso a spa, piscina, sala de juegos, sala de cine, acceso a bar y restaurantes. Promoción válida solo para clientes con Tarjetas de Crédito Visa Scotiabank. Promoción consiste en un 30% Dcto. en reservas para Resort Corralco. Promoción aplica únicamente para reservas realizadas y pagadas con Tarjeta de Crédito Visa Scotiabank de forma directa en Resort o a través de la web www.corralco.com. Promoción aplica solo para Tarjetas Scotiabank emitidas en Chile. Promoción válida para emitir reservas desde el 3 de diciembre de 2024 hasta el 31 de mayo de 2025, con fechas de estadía permitidas desde el 3 de diciembre de 2024 hasta el 31 de mayo de 2025. No existe límite en el monto ni la cantidad de noches que pueden ser reservadas con esta tarifa. Promoción no acumulable sobre otras promociones vigentes. El descuento de la promoción no aplica en actividades como trekking, acceso a spa, piscina, sala de juegos, sala de cine, acceso a bar y restaurantes. Se excluyen de esta promoción las Tarjetas de Crédito Mastercard Scotia Gold, Platinum, Mastercard Black, Tarjetas Empresariales, Corporativas, Mastercard Business y Tarjeta Universal, al igual que las Tarjetas de Crédito Cencosud Scotiabank, emitidas por su filial. El pago con tarjetas de crédito puede tener costos asociados. Consulta con el emisor de la tarjeta para mayor información.",Banco ScotiaBank
Santillana Todos los días," No acumulable sobre otras promociones o proyecto Santillana Compartir.
Un uso de cupón por cliente.
No acumulable sobre otras promociones o descuentos.
Los costos del despacho y los tiempos del mismo son exclusiva responsabilidad del comercio. Promoción válida todos los días hasta el 30 junio de 2025. Promoción consiste en un 15% Dcto. en www.tiendasantillana.cl. Descuento exclusivo pagando con tus Tarjetas de Débito o Crédito Scotiabank e ingresando código de descuento SCOTIABANKESCOLAR. No acumulable sobre otras promociones o proyecto Santillana Compartir. Un uso de cupón por cliente. Los costos del despacho y los tiempos del mismo son exclusiva responsabilidad del comercio. Se excluyen de esta promoción las Tarjetas Empresariales, Corporativas, Mastercard Business, Visa Business, Visa Enjoy, Visa Movistar, Visa Forum, Visa Congelada, Visa Crédito Express, Visa Bex y Tarjeta Universal, al igual que las Tarjetas de Crédito Cencosud Scotiabank, emitidas por su filial. El pago con tarjetas de crédito puede tener costos asociados. Consulta con el emisor de la tarjeta para mayor información.",Banco ScotiaBank
Hotel Las Majadas Todos los días,"  Promoción válida hasta el 31 de diciembre de 2025. Promoción consiste en un 20% de descuento para estadías Bed&BreakFast en Hotel Las Majadas. Promoción sujeta a disponibilidad del Hotel. Para acceder al Beneficio escribe directamente a reservas@lasmajadas.cl o llamando al +56 2 23304910 e indicando los 6 primeros dígitos de tus Tarjetas de Crédito Visa Scotiabank Signature, Infinite, Singular y Wealth Management. Para dudas y detalles revisar sitio oficial www.lasmajadas.cl. Promoción válida para estadías hasta el 31 de diciembre 2025 con excepción de las siguientes fechas: 14 FEB | 29 MAR | 18 Y 19 SEP | 24 Y 31 DIC. Promoción no acumulable sobre otras promociones. Se excluyen de esta promoción las Tarjetas de Débito Scotia, Tarjetas de Crédito Visa y Mastercard Scotia Gold, Platinum, Mastercard Black, Tarjetas Empresariales, Corporativas, Mastercard Business, Visa Business, Visa Enjoy, Visa Movistar, Visa Forum, Visa Congelada, Visa Crédito Express, Visa Bex y Tarjeta Universal, al igual que las Tarjetas de Crédito Cencosud Scotiabank, emitidas por su filial. El pago con tarjetas de crédito puede tener costos asociados. Consulta con el emisor de la tarjeta para mayor información.",Banco ScotiaBank
Estacionamiento Aeropuerto Todos los días," No acumulable con otras ofertas y/o promociones.
El descuento solo aplica para reservas individuales y no para packs de días.
La oferta es de exclusiva responsabilidad del comercio. Promoción válida hasta el 31 de marzo de 2025 o hasta agotar fondo promocional de $3.000.000, lo que ocurra primero. Promoción consiste en un 40% Dcto. en Estacionamiento Aeropuerto Santiago pagando con tus Tarjeta de Crédito Scotiabank Signature, Infinite, Singular y Wealth Management. Tambien accede a un 20% Dcto. en Estacionmiento Aeropuerto Santiago pagando con tus Tarjetas de Débito Scotiabank y Crédito Scotiabank Gold y Platinum. El descuento se hará válido ingresando los 6 primeros dígitos de tu Tarjeta Scotiabank como código de descuento en la tercera sección “Opciones Adicionales”. La oferta es de exclusiva responsabilidad del comercio. No acumulable con otras ofertas y/o promociones. El descuento solo aplica para reservas individuales y para packs de días con un tope máximo de $50.000 por cliente titular. Beneficio exclusivo para compras online. Se excluyen de esta promoción las Tarjetas Empresariales, Corporativas, Mastercard Business, Visa Business, Visa Enjoy, Visa Movistar, Visa Forum, Visa Congelada, Visa Crédito Express, Visa Bex y Tarjeta Universal, al igual que las Tarjetas de Crédito Cencosud Scotiabank, emitidas por su filial. El pago con tarjetas de crédito puede tener costos asociados. Consulta con el emisor de la tarjeta para mayor información.",Banco ScotiaBank
EatTouch Todos los días," Descuento se efectúa al momento del pago.
Tope de descuento $20.000 mensual por cliente titular
Máximo 2 compras mensuales.
Válido solo para compras con boleta. Promoción válida todos los días de marzo 2025 o hasta agotar fondo promocional de $10.000.000, lo que ocurra primero. Promoción exclusiva para clientes Scotiabank, promoción consiste en hasta 50% Dcto. en EatTouch con tope mensual de descuento de $20.000 por cliente titular, en App EatTouch o sitio web EatTouch.cl. El descuento se hace efectivo de forma automática pagando con tus Tarjetas de Crédito Visa Signature, Infinite, Singular y Wealth Management. Máximo 2 compras mensuales. Válido solo para compras con boleta. Se excluyen de esta promoción las Tarjetas de Débito Scotia, Visa Scotia Gold, Mastercard Scotia Gold, Visa Scotia Platinum, Mastercard Scotia Platinum, Mastercard Scotia Black, Signature, Infinite, Singular, Empresariales, Corporativas, Mastercard Business, Visa Enjoy, Visa Movistar, Visa Forum, Visa Congelada, Visa Crédito Express, Visa Bex y Tarjeta Universal, al igual que las Tarjetas de Crédito Cencosud Scotiabank, emitidas por su filial. El pago con tarjetas de crédito puede tener costos asociados. Consulta con el emisor de la tarjeta para mayor información.",Banco ScotiaBank
